geno,food,ovn,tlmm,apple,males,females,apple
219,F,24,1,219.F.1,0,6,219.F.1
219,F,25,1.03333333333333,219.F.1,0,6,219.F.1
219,F,32,1.06666666666667,219.F.1,0,6,219.F.1
219,F,32,1.13333333333333,219.F.1,0,6,219.F.1
219,F,19,0.733333333333333,219.F.1,0,6,219.F.1
219,F,36,1.13333333333333,219.F.1,0,6,219.F.1
262,R,34,1.06666666666667,262.R.2,4,6,262.R.2
262,R,32,1,262.R.2,4,6,262.R.2
262,R,35,1.06666666666667,262.R.2,4,6,262.R.2
262,R,33,1.06666666666667,262.R.2,4,6,262.R.2
262,R,33,1.03333333333333,262.R.2,4,6,262.R.2
262,R,26,0.966666666666667,262.R.3,0,2,262.R.3
262,R,26,1,262.R.3,0,2,262.R.3
69,F,39,1.06666666666667,69.F.1,1,4,69.F.1
69,F,36,1.06666666666667,69.F.1,1,4,69.F.1
69,F,37,1.1,69.F.1,1,4,69.F.1
69,F,32,0.933333333333333,69.F.1,1,4,69.F.1
69,R,47,1.1,69.R.2,10,1,69.R.2
347,R,36,1.13333333333333,347.R.1,7,5,347.R.1
347,R,36,1.11666666666667,347.R.1,7,5,347.R.1
347,R,41,1.06666666666667,347.R.1,7,5,347.R.1
347,R,45,1.15,347.R.1,7,5,347.R.1
347,R,46,1.13333333333333,347.R.1,7,5,347.R.1
69,R,40,0.966666666666667,69.R.1,4,3,69.R.1
69,R,37,1.03333333333333,69.R.1,4,3,69.R.1
69,R,40,1,69.R.1,4,3,69.R.1
69,R,43,1.06666666666667,69.R.3,1,3,69.R.3
69,R,38,1.03333333333333,69.R.3,1,3,69.R.3
69,R,32,1,69.R.3,1,3,69.R.3
69,F,40,1.06666666666667,69.F.2,1,1,69.F.2
219,R,24,1.06666666666667,219.R.3,0,2,219.R.3
219,R,39,1.13333333333333,219.R.3,0,2,219.R.3
219,F,38,1.1,219.F.3,0,1,219.F.3
347,R,33,0.966666666666667,347.R.2,3,4,347.R.2
347,R,35,1.1,347.R.2,3,4,347.R.2
347,R,37,0.966666666666667,347.R.2,3,4,347.R.2
