ovn,tlmm,food,vial,block,geno
36,0.771428571428571,4,1.1.C,1,RR6
45,1.05,2,2.1.C,1,RR6
37,1,4,3.1.C,1,FSP5
41,1.13333333333333,4,4.1.C,1,FSP34
44,1.06666666666667,4,5.1.C,1,FSP25
35,1.13333333333333,2,7.1.C,1,FSP32
36,1.16666666666667,4,8.1.C,1,S80
41,1.16666666666667,4,9.1.C,1,S151
47,1.2,2,11.1.C,1,S179
41,1.13333333333333,1,12.1.C,1,S179
39,1.2,4,13.1.C,1,RR87
49,1.2,4,14.1.C,1,RR22
39,1.2,4,15.1.C,1,RR22
42,1.1,1,17.1.C,1,RR22
43,1.06666666666667,0.6,18.1.C,1,RR22
42,1.13333333333333,4,19.1.C,1,RR87
33,1.03333333333333,2,20.1.C,1,RR87
36,1.1,4,21.1.C,1,RR31
39,1.03333333333333,1,25.1.C,1,RR6
18,1.06666666666667,0.6,26.1.C,1,RR6
38,1.06666666666667,2,28.1.C,1,FSP5
39,1.13333333333333,2,31.1.C,1,FSP34
43,1.1,1,32.1.C,1,FSP34
33,1,0.6,33.1.C,1,FSP34
36,1.11666666666667,2,38.1.C,1,S179
40,1.03333333333333,1,39.1.C,1,S179
34,1.06666666666667,4,42.1.C,1,S151
43,1.18333333333333,2,43.1.C,1,S151
43,0.983333333333333,0.4,93.1.C,1,RR22
43,0.966666666666667,2,94.1.C,1,S179
38,1.03333333333333,1,95.1.C,1,S179
39,1.1,2,99.1.C,1,S151
29,0.975,1,100.1.C,1,S151
29,0.975,1,111.1.C,1,FSP32
35,1,0.6,112.1.C,1,FSP32
17,1.075,0.4,128.1.C,1,FSP5
29,1.025,1,126.1.C,1,FSP5
29,0.925,0.2,133.1.C,1,RR6
37,1.075,2,134.1.C,1,RR31
19,1.05,4,21.1.C,1,RR31
41,1.1,4,23.1.C,1,RR6
54,1.1,2,24.1.C,1,RR6
35,1,4,27.1.C,1,FSP5
35,1.05,1,29.1.C,1,FSP5
45,1.1,4,30.1.C,1,FSP34
33,1.1,4,34.1.C,1,FSP25
37,1.1,2,35.1.C,1,FSP25
41,1,4,37.1.C,1,S179
39,1.1,0.6,40.1.C,1,S179
37,1.05,0.4,41.1.C,1,S179
47,1.15,1,44.1.C,1,S151
39,1,0.6,45.1.C,1,S151
36,1.05,0.4,46.1.C,1,S151
32,1.16666666666667,4,47.1.C,1,S166
37,0.95,2,48.1.C,1,S166
37,1.05,1,49.1.C,1,S166
35,1.1,0.6,50.1.C,1,S166
35,0.95,0.4,51.1.C,1,S166
35,1,4,52.1.C,1,S80
38,1.05,2,53.1.C,1,S80
37,0.95,1,54.1.C,1,S80
37,1,0.6,55.1.C,1,S80
33,1.05,0.4,56.1.C,1,S80
36,1,4,57.1.C,1,FSP32
32,1,2,58.1.C,1,FSP32
39,1,1,59.1.C,1,FSP32
28,0.95,0.6,60.1.C,1,FSP32
28,1,0.4,61.1.C,1,FSP32
36,1,4,52.1.C,1,S80
41,1,2,63.1.C,1,FSP25
33,1,1,64.1.C,1,FSP25
42,1.05,0.6,65.1.C,1,FSP25
39,1,0.4,66.1.C,1,FSP25
37,1.1,4,67.1.C,1,FSP34
39,1,2,68.1.C,1,FSP34
34,1.05,1,69.1.C,1,FSP34
42,1,0.6,70.1.C,1,FSP34
41,1.1,0.4,71.1.C,1,FSP34
37,1.05,4,72.1.C,1,FSP5
34,1,2,73.1.C,1,FSP5
32,1.05,1,74.1.C,1,FSP5
36,0.9,0.6,75.1.C,1,FSP5
33,0.95,0.4,76.1.C,1,FSP5
37,1.05,2,78.1.C,1,RR6
33,1,1,79.1.C,1,RR6
35,1,0.6,80.1.C,1,RR6
41,1,0.4,81.1.C,1,RR6
43,1.15,4,82.1.C,1,RR31
40,0.95,2,83.1.C,1,RR31
43,1,1,84.1.C,1,RR31
28,0.9,0.6,85.1.C,1,RR31
34,0.95,0.4,86.1.C,1,RR31
31,1,4,87.1.C,1,RR87
35,0.95,2,88.1.C,1,RR87
44,1.05,4,89.1.C,1,RR22
39,1,2,90.1.C,1,RR22
43,0.95,1,91.1.C,1,RR22
33,0.95,0.6,92.1.C,1,RR22
37,0.95,0.6,96.1.C,1,S179
32,1,0.4,97.1.C,1,S179
34,0.95,0.4,102.1.C,1,S151
27,0.95,0.2,103.1.C,1,S151
42,1,1,104.1.C,1,S166
35,1,0.4,105.1.C,1,S166
36,1.05,0.6,106.1.C,1,S166
35,0.9,2,107.1.C,1,S80
38,1,0.6,109.1.C,1,S80
29,0.9,0.4,113.1.C,1,FSP32
27,1,2,115.1.C,1,FSP25
33,1,1,116.1.C,1,FSP25
37,1,0.6,117.1.C,1,FSP25
35,1,0.4,118.1.C,1,FSP25
23,1,0.2,119.1.C,1,FSP25
38,1.1,2,120.1.C,1,FSP34
34,1.15,1,121.1.C,1,FSP34
42,1.1,0.6,122.1.C,1,FSP34
34,1.1,0.4,123.1.C,1,FSP34
17,0.95,0.2,124.1.C,1,FSP34
19,1.05,2,130.1.C,1,RR6
37,1,1,131.1.C,1,RR6
26,0.95,0.4,132.1.C,1,RR6
41,1,1,135.1.C,1,RR31
36,1.1,0.6,136.1.C,1,RR31
33,0.9,0.4,137.1.C,1,RR31
34,1,1,139.1.C,1,RR22
29,0.9,0.6,140.1.C,1,RR22
29,0.95,0.4,141.1.C,1,RR22
34,1.05,0.6,147.1.C,1,S166
32,1,0.4,148.1.C,1,S166
28,1,0.6,153.1.C,1,FSP32
27,1,0.4,154.1.C,1,FSP32
23,0.95,0.2,155.1.C,1,FSP32
29,0.95,0.2,156.1.C,1,FSP34
46,1.05,0.6,157.1.C,1,FSP5
30,1,0.6,164.1.C,1,RR22
34,0.9,0.4,165.1.C,1,RR22
30,1.05,0.6,171.1.C,1,FSP25
38,1.05,0.4,172.1.C,1,FSP25
24,1,0.2,173.1.C,1,FSP25
37,0.95,0.2,174.1.C,1,FSP34
35,0.95,0.6,175.1.C,1,FSP5
27,1,0.6,182.1.C,1,RR22
27,0.9,0.4,183.1.C,1,RR22
20,0.95,0.2,184.1.C,1,S179
28,0.95,0.2,185.1.C,1,S151
39,1.1,1,186.1.C,1,S166
31,0.9,0.2,187.1.C,1,S166
42,0.966666666666667,4,125.1.C,1,FSP5
32,1,0.4,158.1.C,1,FSP25
37,0.8,0.2,159.1.C,1,FSP25
36,1,0.4,188.1.C,1,S80
27,0.9,0.2,189.1.C,1,S80
14,0.933333333333333,0.4,142.1.C,1,S179
37,1.05,0.2,143.1.C,1,S179
38,1.13333333333333,1,144.1.C,1,S151
38,1.1,0.4,145.1.C,1,S151
28,1.03333333333333,0.6,150.1.C,1,S80
38,1.06666666666667,0.4,151.1.C,1,S80
27,1.06666666666667,0.4,160.1.C,1,RR6
